Tarih,Open,High,Low,Close
2002-01-02,1.455,1.468,1.403,1.448
2002-01-03,1.451,1.453,1.395,1.42
2002-01-04,1.424,1.427,1.372,1.414
2002-01-07,1.421,1.426,1.395,1.4
2002-01-08,1.3975,1.4105,1.3775,1.3945
2002-01-09,1.3975,1.4175,1.3775,1.4045
2002-01-10,1.4065,1.4085,1.3775,1.3875
2002-01-11,1.3825,1.3905,1.3635,1.3795
2002-01-14,1.381,1.39,1.35,1.364
2002-01-15,1.366,1.378,1.359,1.366
2002-01-16,1.3765,1.3845,1.3655,1.3745
2002-01-17,1.373,1.376,1.356,1.361
2002-01-18,1.3645,1.3725,1.3475,1.3495
2002-01-21,1.355,1.358,1.322,1.325
2002-01-22,1.3255,1.3475,1.3025,1.3405
2002-01-23,1.345,1.37,1.337,1.365
2002-01-24,1.3645,1.3715,1.3335,1.3485
2002-01-25,1.35,1.365,1.326,1.36
2002-01-28,1.36,1.365,1.327,1.3305
2002-01-29,1.328,1.3295,1.3035,1.3195
2002-01-30,1.3185,1.3445,1.3035,1.3265
2002-01-31,1.328,1.328,1.3045,1.307
2002-02-01,1.3035,1.3155,1.2965,1.3075
2002-02-04,1.308,1.321,1.307,1.315
2002-02-05,1.3095,1.3125,1.2915,1.3055
2002-02-06,1.3055,1.3395,1.3025,1.3275
2002-02-07,1.3285,1.3475,1.3225,1.3455
2002-02-08,1.3475,1.4025,1.3465,1.4025
2002-02-11,1.395,1.422,1.37,1.377
2002-02-12,1.3765,1.3875,1.3635,1.3685
2002-02-13,1.3685,1.3685,1.3315,1.3445
2002-02-14,1.348,1.365,1.335,1.355
2002-02-15,1.355,1.365,1.333,1.354
2002-02-18,1.3545,1.3705,1.3465,1.351
2002-02-19,1.3535,1.4185,1.3435,1.3845
2002-02-20,1.3845,1.3945,1.3635,1.3705
2002-02-21,1.376,1.393,1.365,1.391
2002-02-22,1.385,1.388,1.382,1.388
2002-02-25,1.39,1.39,1.385,1.387
2002-02-26,1.3885,1.4235,1.3645,1.4085
2002-02-27,1.4075,1.4205,1.3955,1.4105
2002-02-28,1.4085,1.4095,1.3765,1.3965
2002-03-01,1.3965,1.3985,1.3715,1.3905
2002-03-04,1.3895,1.3945,1.3745,1.3805
2002-03-05,1.38,1.39,1.374,1.385
2002-03-06,1.3885,1.3915,1.3725,1.3725
2002-03-07,1.3715,1.3785,1.3565,1.3765
